fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after
farmed99,high,28/03/2021,13:46:10,13:47:15,00:01:05,dir_change,dir change,Flow Clockwise (1),,,
farmed100,high,28/03/2021,14:14:26,14:16:21,00:01:55,dir_change,dir change,Flow Counterclockwise (2),,,
farmed101,high,28/03/2021,14:41:30,14:44:04,00:02:34,swim_off,swim off,Flow Clockwise (1),,,
farmed102,high,28/03/2021,15:09:09,15:10:33,00:01:24,swim_off,swim off,Flow Counterclockwise (2),,,
farmed103,high,28/03/2021,15:35:29,15:36:25,00:00:56,dir_change,dir change,Flow Clockwise (1),,,
farmed104,high,28/03/2021,16:01:43,x,,no_reaction,no change,Flow Counterclockwise (2),,,
farmed105,high,28/03/2021,16:29:55,16:31:26,00:01:31,no_reaction,dir change and swim off,Flow Clockwise (1),,,
farmed106,high,28/03/2021,16:58:32,x,,no_reaction,no change,Flow Counterclockwise (2),,,
farmed107,high,28/03/2021,17:25:04,x,,unstable,unstable,Flow Clockwise (1),,,
farmed108,high,28/03/2021,17:52:52,17:54:25,00:01:33,dir_change,dir change,Flow Counterclockwise (2),,,
farmed109,high,28/03/2021,18:19:28,x,,unstable,unstable,Flow Clockwise (1),,,
farmed110,high,28/03/2021,18:48:29,18:50:19,00:01:50,dir_change,"dir change and swim off, slow",Flow Counterclockwise (2),,,
farmed111,high,28/03/2021,19:16:11,19:19:20,00:03:09,dir_change,dir change,Flow Clockwise (1),,,
farmed112,high,28/03/2021,19:44:04,19:44:35,00:00:31,dir_change,dir change,Flow Counterclockwise (2),,,
farmed113,high,28/03/2021,20:11:26,20:11:33,00:00:07,swim_off,swims off,Flow Clockwise (1),,,
wild1,high,03/05/2021,13:06:50,13:08:00,00:01:10,swim_off,"swims off, barely stable, first adjust postioins for a while but only now decides in needs to chagne holidng",Flow Clockwise (1),,,
wild2,high,03/05/2021,13:38:41,x, ,unstable,unstable,Flow Counterclockwise (2),,,
wild3,high,03/05/2021,14:10:24,14:12:14,00:01:50,dir_change,,Flow Clockwise (1),,,
wild4,high,03/05/2021,14:38:56,x,,no_reaction,no change,Flow Counterclockwise (2),,,
wild5,high,03/05/2021,15:06:28,15:06:43,00:00:15,dir_change,,Flow Clockwise (1),,,
wild6,high,03/05/2021,15:34:40,15:35:43,00:01:03,swim_off,swims off,Flow Counterclockwise (2),,,
wild7,high,03/05/2021,16:02:00,16:02:37,00:00:37,dir_change,changes direction but is first sideways accrosss...,Flow Clockwise (1),,,
wild8,high,03/05/2021,16:31:20,16:32:21,00:01:01,dir_change,,Flow Counterclockwise (2),,,
wild9,high,03/05/2021,16:58:10,x,,no_reaction,it is first sideways accrosss...,Flow Clockwise (1),,,
