date,flow_v
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:29,18
2021-09-14 12:48:30,18
2021-09-14 12:48:30,18
2021-09-14 12:48:30,18
2021-09-14 12:48:30,17
2021-09-14 12:48:30,17
2021-09-14 12:48:30,17
2021-09-14 12:48:30,17
2021-09-14 12:48:31,17
2021-09-14 12:48:31,17
2021-09-14 12:48:31,17
2021-09-14 12:48:31,17
2021-09-14 12:48:31,15
2021-09-14 12:48:31,15
2021-09-14 12:48:31,16
2021-09-14 12:48:32,16
2021-09-14 12:48:32,16
2021-09-14 12:48:32,15
2021-09-14 12:48:32,16
2021-09-14 12:48:32,16
2021-09-14 12:48:32,15
2021-09-14 12:48:32,15
2021-09-14 12:48:32,15
2021-09-14 12:48:33,15
2021-09-14 12:48:33,15
2021-09-14 12:48:33,15
2021-09-14 12:48:33,17
2021-09-14 12:48:33,17
2021-09-14 12:48:33,17
2021-09-14 12:48:33,17
2021-09-14 12:48:34,17
2021-09-14 12:48:34,17
2021-09-14 12:48:34,17
2021-09-14 12:48:34,17
2021-09-14 12:48:34,20
2021-09-14 12:48:34,20
2021-09-14 12:48:34,20
2021-09-14 12:48:35,20
2021-09-14 12:48:35,20
2021-09-14 12:48:35,20
2021-09-14 12:48:35,20
2021-09-14 12:48:35,17
2021-09-14 12:48:35,17
2021-09-14 12:48:35,17
2021-09-14 12:48:35,17
2021-09-14 12:48:36,17
2021-09-14 12:48:36,17
2021-09-14 12:48:36,17
2021-09-14 12:48:36,18
2021-09-14 12:48:36,14
2021-09-14 12:48:36,14
2021-09-14 12:48:36,14
2021-09-14 12:48:37,14
2021-09-14 12:48:37,14
2021-09-14 12:48:37,14
2021-09-14 12:48:37,18
2021-09-14 12:48:37,18
2021-09-14 12:48:37,18
2021-09-14 12:48:37,18
2021-09-14 12:48:38,18
2021-09-14 12:48:38,18
2021-09-14 12:48:38,18
2021-09-14 12:48:38,18
2021-09-14 12:48:38,17
2021-09-14 12:48:38,17
2021-09-14 12:48:38,17
2021-09-14 12:48:38,17
2021-09-14 12:48:39,17
2021-09-14 12:48:39,17
2021-09-14 12:48:39,17
2021-09-14 12:48:39,20
2021-09-14 12:48:39,20
2021-09-14 12:48:39,20
2021-09-14 12:48:39,20
2021-09-14 12:48:40,20
2021-09-14 12:48:40,20
2021-09-14 12:48:40,20
2021-09-14 12:48:40,20
2021-09-14 12:48:40,22
2021-09-14 12:48:40,22
2021-09-14 12:48:40,22
2021-09-14 12:48:41,22
2021-09-14 12:48:41,22
2021-09-14 12:48:41,22
2021-09-14 12:48:41,22
2021-09-14 12:48:41,18
2021-09-14 12:48:41,18
2021-09-14 12:48:41,18
2021-09-14 12:48:41,18
2021-09-14 12:48:42,18
2021-09-14 12:48:42,18
2021-09-14 12:48:42,18
2021-09-14 12:48:42,14
2021-09-14 12:48:42,14
2021-09-14 12:48:42,14
2021-09-14 12:48:42,14
2021-09-14 12:48:43,14
2021-09-14 12:48:43,14
2021-09-14 12:48:43,14
2021-09-14 12:48:43,18
2021-09-14 12:48:43,20
2021-09-14 12:48:43,20
2021-09-14 12:48:43,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:44,20
2021-09-14 12:48:45,20
2021-09-14 12:48:45,20
2021-09-14 12:48:45,20
2021-09-14 12:48:45,14
2021-09-14 12:48:45,14
2021-09-14 12:48:45,14
2021-09-14 12:48:45,14
