fish 66 - 81
This version of the experimental file, saves the time of actual direction swith 
2021Mar25_16:11:30, Flow Counterclockwise (2), 
2021Mar25_16:16:51, Fish Out (Press ENTER before entering the room), 
2021Mar25_16:18:39, Fish In (press ENTER after exiting the room), 
2021Mar25_16:42:06, Flow Clockwise (1), 
2021Mar25_16:47:18, Fish Out (Press ENTER before entering the room), 
2021Mar25_16:49:15, Fish In (press ENTER after exiting the room), 
2021Mar25_16:49:24, Flow Counterclockwise (2), 
This version of the experimental file, saves the time of actual direction swith 
2021Mar25_16:49:40, Flow Clockwise (1), 
2021Mar25_16:49:41, Fish Out (Press ENTER before entering the room), 
2021Mar25_16:49:41, Fish In (press ENTER after exiting the room), 
2021Mar25_17:10:25, Flow Counterclockwise (2), 
2021Mar25_17:15:20, Fish Out (Press ENTER before entering the room), 
2021Mar25_17:16:56, Fish In (press ENTER after exiting the room), 
2021Mar25_17:43:11, Flow Clockwise (1), 
2021Mar25_17:43:16, Fish Out (Press ENTER before entering the room), 
2021Mar25_17:43:17, Fish In (press ENTER after exiting the room), 
2021Mar25_17:43:24, Flow Counterclockwise (2), 


fish 82 - 96

This version of the experimental file, saves the time of actual direction swith 
2021Mar27_09:07:53, Flow Clockwise (1), 
2021Mar27_09:07:53, Fish Out (Press ENTER before entering the room), 
2021Mar27_09:07:54, Fish In (press ENTER after exiting the room), 
2021Mar27_09:08:01, Flow Counterclockwise (2), 
2021Mar27_09:08:01, Fish Out (Press ENTER before entering the room), 
2021Mar27_09:08:01, Fish In (press ENTER after exiting the room), 
2021Mar27_09:28:40, Flow Clockwise (1), 
2021Mar27_09:28:50, Fish Out (Press ENTER before entering the room), 
2021Mar27_09:28:51, Fish In (press ENTER after exiting the room), 
2021Mar27_09:28:58, Flow Counterclockwise (2), 
2021Mar27_09:29:05, Fish Out (Press ENTER before entering the room), 
2021Mar27_09:29:06, Fish In (press ENTER after exiting the room), 
2021Mar27_09:36:07, Flow Clockwise (1),

This version of the experimental file, saves the time of actual direction swith 
2021Mar27,09:36:21, Flow Clockwise (1), 
2021Mar27,09:43:51, Fish Out (Press ENTER before entering the room), 
2021Mar27,09:46:20, Fish In (press ENTER after exiting the room), 
2021Mar27,10:06:54, Flow Counterclockwise (2), 
2021Mar27,10:12:26, Fish Out (Press ENTER before entering the room), 
2021Mar27,10:14:48, Fish In (press ENTER after exiting the room), 
2021Mar27,10:35:41, Flow Clockwise (1), 
2021Mar27,10:40:53, Fish Out (Press ENTER before entering the room), 
2021Mar27,10:43:28, Fish In (press ENTER after exiting the room), 
2021Mar27,11:03:58, Flow Counterclockwise (2), 
2021Mar27,11:10:29, Fish Out (Press ENTER before entering the room), 
2021Mar27,11:11:58, Fish In (press ENTER after exiting the room), 
2021Mar27,11:32:15, Flow Clockwise (1), 
2021Mar27,11:37:27, Fish Out (Press ENTER before entering the room), 
2021Mar27,11:38:43, Fish In (press ENTER after exiting the room), 
2021Mar27,11:59:02, Flow Counterclockwise (2), 
2021Mar27,12:04:24, Fish Out (Press ENTER before entering the room), 
2021Mar27,12:05:58, Fish In (press ENTER after exiting the room), 
2021Mar27,12:33:10, Flow Clockwise (1), 
2021Mar27,12:39:24, Fish Out (Press ENTER before entering the room), 
2021Mar27,12:40:34, Fish In (press ENTER after exiting the room), 
2021Mar27,13:01:39, Flow Counterclockwise (2), 
2021Mar27,13:06:49, Fish Out (Press ENTER before entering the room), 
2021Mar27,13:08:08, Fish In (press ENTER after exiting the room), 
2021Mar27,13:28:21, Flow Clockwise (1), 
2021Mar27,13:33:45, Fish Out (Press ENTER before entering the room), 
2021Mar27,13:35:03, Fish In (press ENTER after exiting the room), 
2021Mar27,13:53:01, Flow Counterclockwise (2),

This version of the experimental file, saves the time of actual direction swith 
2021Mar27,13:53:14, Flow Clockwise (1), 
2021Mar27,13:53:19, Fish Out (Press ENTER before entering the room), 
2021Mar27,13:53:20, Fish In (press ENTER after exiting the room), 
2021Mar27,13:58:18, Flow Counterclockwise (2), 
2021Mar27,14:08:09, Fish Out (Press ENTER before entering the room), 
2021Mar27,14:12:16, Fish In (press ENTER after exiting the room), 
2021Mar27,14:32:35, Flow Clockwise (1), 
2021Mar27,14:38:41, Fish Out (Press ENTER before entering the room), 
2021Mar27,15:03:42, Fish In (press ENTER after exiting the room), 
2021Mar27,15:03:53, Flow Counterclockwise (2), 
2021Mar27,15:10:04, Fish Out (Press ENTER before entering the room), 
2021Mar27,15:11:54, Fish In (press ENTER after exiting the room), 
2021Mar27,15:43:15, Flow Clockwise (1), 
2021Mar27,15:48:24, Fish Out (Press ENTER before entering the room), 
2021Mar27,15:49:50, Fish In (press ENTER after exiting the room), 
2021Mar27,16:10:40, Flow Counterclockwise (2), 
2021Mar27,16:15:52, Fish Out (Press ENTER before entering the room), 
2021Mar27,16:17:23, Fish In (press ENTER after exiting the room), 
2021Mar27,16:41:00, Flow Clockwise (1), 
2021Mar27,16:41:13, Fish Out (Press ENTER before entering the room), 
2021Mar27,16:41:15, Fish In (press ENTER after exiting the room), 


